Artist,Song,Streams,Genre
Tom Misch,South of the River,"29,563,205",
Tom Misch,Day 4: Everybody Get Down,"7,412,252",
Tom Misch,Day 2: Feeling,"8,517,673",
Tom Misch,Day 5: For Carol,"9,079,391",
Tom Misch,Day 3: When You Want to Love,"5,059,184",
Tom Misch,Day 1: Ephemeral,"4,504,450",
Tom Misch,Cold Little Heart - Tom Misch Remix,"3,596,216",
Tom Misch,Fantastic Interlude,"467,498",
Tom Misch,Damselfly,"46,474,444",
Tom Misch,Watch Me Dance - Crackazat Remix,"956,788",
Tom Misch,Losing My Way,"54,783",
Tom Misch,Midnight Mischief - Tom Misch Remix,"22,125,758",
Tom Misch,Follow,"12,654,032",
Tom Misch,I Wish,"16,531,782",
Tom Misch,Crazy Dream,"40,629,568",
Tom Misch,Watch Me Dance,"12,766,645",
Tom Misch,Stay Close,"2,094,846",
Tom Misch,Friends (feat. Tom Morello) - Tom Misch Alternative Remix,"1,171,630",
Tom Misch,Friends (feat. Tom Morello) - Tom Misch Remix,"3,528,956",
Tom Misch,Changing Me,"1,021,276",
Tom Misch,Colours of Freedom,"7,339,593",
Tom Misch,Falafel,"6,941,822",
Tom Misch,Beautiful Escape,"48,649,037",
Tom Misch,Home,"5,374,238",
Tom Misch,The Journey,"19,884,565",
Tom Misch,Come Back,"5,383,670",
Tom Misch,Hark,"4,360,618",
Tom Misch,Your Love,"10,408,586",
Tom Misch,Nightgowns,"13,020,814",
Tom Misch,Wander With Me,"14,946,135",
Tom Misch,What You Don't Do - Tom Misch Remix,"20,117,830",
Tom Misch,Wake Up This Day,"18,802,099",
Tom Misch,In the Midst of It All,"27,787,836",
Tom Misch,No Peace,"1,136,684",
Tom Misch,Sunshine,"12,601,907",
Tom Misch,Where I'm From - Tom Misch Remix,"2,498,239",
Tom Misch,With You,"4,059,610",
Tom Misch,Release You,"6,644,269",
Tom Misch,Outro,"2,451,062",
Tom Misch,Paper Planes,"4,593,478",
Tom Misch,So Close,"12,148,574",
Tom Misch,Memory,"7,275,725",
Tom Misch,Foolish (feat. Ryan Ashley) - Tom Misch Remix,"168,883",
Tom Misch,Lush Lyfe,"483,519",
Tom Misch,Keep Moving,"539,374",
Tom Misch,Take Me Back,"1,106,212",
Tom Misch,Summer,"1,021,018",
Tom Misch,The Real Thing,"1,124,061",
Tom Misch,In a Special Way,"1,028,056",
Tom Misch,Maguel Chops,"356,879",
Tom Misch,Wonder,"402,066",
Tom Misch,Wind (Jazzy Joint),"383,147",
Tom Misch,You Got Me Flying,"872,185",
Tom Misch,Euphoric,"354,181",
Tom Misch,Marrakech,"1,732,816",
Tom Misch,Climbing,"415,108",
Tom Misch,Windmills of Your Mind,"420,129",
Tom Misch,Deeper,"382,351",
Tom Misch,Cruisin',"404,167",
Tom Misch,Dilla Love,"535,171",
Tom Misch,Epiphany,"426,106",
Tom Misch,Can't Explain It,"351,068",
Tom Misch,Wicked Games (feat. Anna Naklab) - Tom Misch Remix,"1,541,203",
Boy Pablo,Losing You,"39,722,916",
Boy Pablo,Ready / Problems,"12,711,522",
Boy Pablo,Everytime,"72,722,525",
Boy Pablo,"Dance, Baby!","69,907,389",
Boy Pablo,Yeah (Fantasizing),"7,740,138",
Boy Pablo,imreallytiredthisdaysucks,"8,648,884",
Boy Pablo,ur phone,"12,192,341",
Boy Pablo,Beach House,"14,327,932",
Boy Pablo,Flowers,"8,393,721",
Yellow Days,The Way Things Change,"24,345,224",
Yellow Days,A Smiling Face,"1,567,949",
Yellow Days,I've Been Thinking Too Hard,"6,985,341",
Yellow Days,Outro (Lost in a World with You),"1,219,384",
Yellow Days,Weight of the World,"1,275,178",
Yellow Days,Tired,"1,787,381",
Yellow Days,A Bag of Dutch,"2,172,442",
Yellow Days,The Tree I Climb,"2,271,630",
