Artist,Song,Streams,Genre,Class
Alex G,Mis,6335558,,2.793347223190492
Alex G,Message,1326321,,1.9417348299340524
Alex G,Sandy,2977400,,2.3821125622497448
Alex G,New,19271,,0.0
Alex G,Fighting,1566708,,2.0324458254758593
Alex G,Come Back,2153711,,2.205742828753708
Alex G,Good,1031507,,1.8048315339609249
Alex G,Master,1785687,,2.1036926298640197
Alex G,Rules,927291,,1.7468280422262072
Alex G,Know Now,713545,,1.6041337322378206
Alex G,Water,798245,,1.6652203308574007
Alex G,I Won't Give Up,3972465,,2.539137582083681
Alex G,Falling Slowly,450349,,1.3535015791342053
Alex G,Perfectly Known,215871,,0.9530431854621566
Alex G,Perfectly Known - Rap,215871,,0.9530431854621566
Alex G,Breathe,65766,,0.3057614019745529
Alex G,Together Again,23792,,0.0
Alex G,Car Crash Heart,223168,,0.9711473634395036
Alex G,Love Like Valentine,157752,,0.7822297860722935
Alex G,Don't Know Why (Acoustic Tribute to Norah Jones) [feat. W.G. Snuffy Walden],8881,,0.0
Alex G,Silent Night,24144,,0.0
Alex G,It Will Rain (Acoustic Tribute to Bruno Mars),42089,,0.06270658375596128
Alex G,A Thousand Years,73989,,0.3699204901784272
Alex G,A Thousand Years (Tribute to Christina Perri),73989,,0.3699204901784272
Alex G,Ours (Acoustic Tribute to Taylor Swift),61679,,0.2708213530887662
Alex G,Ours,61679,,0.2708213530887662
Alex G,Terrified (Acoustic Tribute to Katharine McPhee and Zachary Levi),315006,,1.1588487167218477
Alex G,Monster,361821,,1.23430573619643
Alex G,Nineteen,52893,,0.18713432768355753
Alex G,Someone Like You - Jam,510434,,1.421705057942043
Alex G,Someone Like You (Acoustic Version),510434,,1.421705057942043
Alex G,Terrified,161368,,0.7945719074671291
Alex G,Jet Lag,42276,,0.06512076160370639
Alex G,Who Says,336807,,1.1952916761016106
Alex G,Who Says (Tribute to Selena Gomez),336807,,1.1952916761016106
Alex G,Sparks Fly,406168,,1.2972695557330935
Alex G,Just a Kiss,1165935,,1.8715450931065416
Alex G,Stereo Hearts,154579,,0.7711643969751347
